id,code,name,definition,source_id/id,system
body_106004,"106004","Structure of posterior carpal region","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_107008,"107008","Structure of fetal part of placenta (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_108003,"108003","Entire condylar emissary vein","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_110001,"110001","Structure of visceral layer of Bowman's capsule","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_111002,"111002","Parathyroid structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_116007,"116007","Subcutaneous tissue structure of medial surface of index finger","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_124002,"124002","Structure of coronoid process of mandible","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_149003,"149003","Central pair of microtubules, cilium or flagellum, not bacterial","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_155008,"155008","Structure of deep circumflex iliac artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_167005,"167005","Structure of supraclavicular part of brachial plexus","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_202009,"202009","Structure of anterior division of renal artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_205006,"205006","Entire left commissure of aortic valve","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_206007,"206007","Structure of gluteus maximus muscle","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_221001,"221001","Structure of articular surface, phalanges, of fourth metacarpal bone","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_227002,"227002","Canal of Hering","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_233006,"233006","Structure of hepatocolic ligament","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_235004,"235004","Structure of superior labial artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_246001,"246001","Structure of lateral vestibular nucleus","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_247005,"247005","Structure of mesotympanum (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_251007,"251007","Pectoral region structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_256002,"256002","Kupffer cell","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_263002,"263002","Structure of thoracic spinal nerve (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_266005,"266005","Structure of right lower lobe of lung","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_272005,"272005","Structure of superior articular process of lumbar vertebra","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_273000,"273000","Structure of lateral myocardium","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_283001,"283001","Structure of central axillary lymph node","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_284007,"284007","Entire flexor tendon and tendon sheath of fourth toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_289002,"289002","Metacarpophalangeal joint structure of index finger","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_301000,"301000","Fifth metatarsal structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_311007,"311007","Structure of plantar surface of great toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_315003,"315003","Skin structure of umbilicus","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_318001,"318001","Structure of cardiac impression of liver","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_344001,"344001","Ankle region structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_345000,"345000","Atrioventricular bundle structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_356000,"356000","Reticular corium","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_393006,"393006","Structure of wall of urinary bladder","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_402006,"402006","Structure of dental branch of inferior alveolar artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_405008,"405008","Entire posterior temporal diploic vein","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_414003,"414003","Gastric fundus structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_420002,"420002","Anastomosis, heterocladic","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_422005,"422005","Structure of inferior surface of tongue","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_446003,"446003","Structure of trochanteric bursa","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_457008,"457008","Structure of collateral ligament","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_461002,"461002","Structure of lateral corticospinal tract","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_464005,"464005","Basophilic normoblast","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_465006,"465006","Structure of ascending frontal gyrus (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_471000,"471000","Flexor hallucis longus muscle structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_480000,"480000","Cardiopulmonary circulatory system structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_485005,"485005","Transverse colon structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_528006,"528006","Structure of costal surface of lung","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_552004,"552004","Entire vagus nerve parasympathetic fibers to cardiac plexus","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_565008,"565008","Structure of intervertebral disc space of fifth lumbar vertebra","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_582005,"582005","Structure of head of phalanx of great toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_587004,"587004","Structure of capsule of proximal interphalangeal joint of third toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_589001,"589001","Interventricular septum structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_595000,"595000","Structure of palpebral fissure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_608002,"608002","Subcutaneous tissue structure of philtrum","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_621009,"621009","Multivesicular body, internal vesicles","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_635006,"635006","Structure of tuberosity of distal phalanx of little toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_650002,"650002","Structure of superior articular process of seventh thoracic vertebra","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_660006,"660006","Tracheal mucous membrane","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_661005,"661005","Jaw region structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_667009,"667009","Embryonic structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_688000,"688000","Fetal hyaloid artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_691000,"691000","Small intestine submucosa","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_692007,"692007","Structure of body of ischium","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_723004,"723004","Dense intermediate filament bundles","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_774007,"774007","Head and neck structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_790007,"790007","Structure of visceral aspect of liver","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_798000,"798000","Entire deep temporal vein","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_808000,"808000","Structure of posterior intercostal artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_809008,"809008","Structure of fetal chondrocranium","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_823005,"823005","Structure of posterior cervical spinal cord nerve root","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_830004,"830004","Structure of spinous process of fifth thoracic vertebra (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_836005,"836005","Structure of oral region of face","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_885000,"885000","Lamina muscularis of colonic mucous membrane","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_895007,"895007","Structure of anterior cruciate ligament of knee joint","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_917004,"917004","Superior laryngeal aperture structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_921006,"921006","Structure of thyrohyoid branch of ansa cervicalis","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_947002,"947002","Structure of crus of diaphragm","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_955009,"955009","Bronchial structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_976004,"976004","Structure of ovarian vein","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_996007,"996007","Structure of meningeal branch of occipital artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
body_1005009,"1005009","Entire diaphragmatic lymph node","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
