id,code,name,definition,source_id/id,system
defn_type_address,Address,Address,"An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations which might not be valid for mail delivery. There are a variety of postal address formats defined around the world.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_age,Age,Age,"A duration of time during which an organism (or a process) has existed.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_annotation,Annotation,Annotation,"A text note which also contains information about who made the statement and when.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_attachment,Attachment,Attachment,"For referring to data content defined in other formats.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_backboneelement,BackboneElement,Backbone Element,"Base definition for all elements that are defined inside a resource - but not those in a data type.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_codeableconcept,CodeableConcept,Codeable Concept,"A concept that may be defined by a formal reference to a terminology or ontology or may be provided by text.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_coding,Coding,Coding,"A reference to a code defined by a terminology system.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_contactdetail,ContactDetail,Contact Detail,"Specifies contact information for a person or organization.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_contactpoint,ContactPoint,Contact Point,"Details for all kinds of technology mediated contact points for a person or organization, including telephone, email, etc.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_contributor,Contributor,Contributor,"A contributor to the content of a knowledge asset, including authors, editors, reviewers, and endorsers.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_count,Count,Count,"A measured amount (or an amount that can potentially be measured). Note that measured amounts include amounts that are not precisely quantified, including amounts involving arbitrary units and floating currencies.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_datarequirement,DataRequirement,Data Requirement,"Describes a required data item for evaluation in terms of the type of data, and optional code or date-based filters of the data.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_distance,Distance,Distance,"A length - a value with a unit that is a physical distance.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_dosage,Dosage,Dosage,"Indicates how the medication is/was taken or should be taken by the patient.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_duration,Duration,Duration,"A length of time.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_element,Element,Element,"Base definition for all elements in a resource.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_elementdefinition,ElementDefinition,Element Definition,"Captures constraints on each element within the resource, profile, or extension.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_extension,Extension,Extension,"Optional Extension Element - found in all resources.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_humanname,HumanName,Human Name,"A human's name with the ability to identify parts and usage.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_identifier,Identifier,Identifier,"A technical identifier - identifies some entity uniquely and unambiguously.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_meta,Meta,Meta,"The metadata about a resource. This is content in the resource that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_money,Money,Money,"An amount of economic utility in some recognized currency.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_narrative,Narrative,Narrative,"A human-readable formatted text, including images.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_parameterdefinition,ParameterDefinition,Parameter Definition,"The parameters to the module. This collection specifies both the input and output parameters. Input parameters are provided by the caller as part of the $evaluate operation. Output parameters are included in the GuidanceResponse.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_period,Period,Period,"A time period defined by a start and end date and optionally time.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_quantity,Quantity,Quantity,"A measured amount (or an amount that can potentially be measured). Note that measured amounts include amounts that are not precisely quantified, including amounts involving arbitrary units and floating currencies.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_range,Range,Range,"A set of ordered Quantities defined by a low and high limit.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_ratio,Ratio,Ratio,"A relationship of two Quantity values - expressed as a numerator and a denominator.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_reference,Reference,Reference,"A reference from one resource to another.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_relatedartifact,RelatedArtifact,Related Artifact,"Related artifacts such as additional documentation, justification, or bibliographic references.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_sampleddata,SampledData,Sampled Data,"A series of measurements taken by a device, with upper and lower limits. There may be more than one dimension in the data.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_signature,Signature,Signature,"A digital signature along with supporting context. The signature may be electronic/cryptographic in nature, or a graphical image representing a hand-written signature, or a signature process. Different signature approaches have different utilities.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_simplequantity,SimpleQuantity,Simple Quantity,"",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_timing,Timing,Timing,"Specifies an event that may occur multiple times. Timing schedules are used to record when things are planned, expected or requested to occur. The most common usage is in dosage instructions for medications. They are also used when planning care of various kinds, and may be used for reporting the schedule to which past regular activities were carried out.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_triggerdefinition,TriggerDefinition,Trigger Definition,"A description of a triggering event.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_usagecontext,UsageContext,Usage Context,"Specifies clinical/business/etc metadata that can be used to retrieve, index and/or categorize an artifact. This metadata can either be specific to the applicable population (e.g., age category, DRG) or the specific context of care (e.g., venue, care setting, provider of care).",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_base64binary,base64Binary,Base 64 Binary,"A stream of bytes",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_boolean,boolean,Boolean,"Value of ""true"" or ""false""",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_code,code,Code,"A string which has at least one character and no leading or trailing whitespace and where there is no whitespace other than single spaces in the contents",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_date,date,Date,"A date or partial date (e.g. just year or year + month). There is no time zone. The format is a union of the schema types gYear, gYearMonth and date. Dates SHALL be valid dates.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_datetime,dateTime,Date Time,"A date, date-time or partial date (e.g. just year or year + month). If hours and minutes are specified, a time zone SHALL be populated. The format is a union of the schema types gYear, gYearMonth, date and dateTime. Seconds must be provided due to schema type constraints but may be zero-filled and may be ignored. Dates SHALL be valid dates.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_decimal,decimal,Decimal,"A rational number with implicit precision",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_id,id,id,"Any combination of letters, numerals, ""-"" and ""."", with a length limit of 64 characters. (This might be an integer, an unprefixed OID, UUID or any other identifier pattern that meets these constraints.) Ids are case-insensitive.",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_instant,instant,Instant,"An instant in time - known at least to the second",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_integer,integer,Integer,"A whole number",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_markdown,markdown,Markdown,"A string that may contain markdown syntax for optional processing by a mark down presentation engine",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_oid,oid,oid,"An OID represented as a URI",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_positiveint,positiveInt,Positive Int,"An integer with a value that is positive (e.g. >0)",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_string,string,String,"A sequence of Unicode characters",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_time,time,Time,"A time during the day, with no date specified",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_unsignedint,unsignedInt,Unsigned Int,"An integer with a value that is not negative (e.g. >= 0)",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_uri,uri,URI,"String of characters used to identify a name or a resource",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_uuid,uuid,uuid,"A UUID, represented as a URI",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_xhtml,xhtml,XHTML,"XHTML format, as defined by W3C, but restricted usage (mainly, no active content)",base.hl7fhir,http://hl7.org/fhir/data-types
defn_type_account,Account,Account,"A financial tool for tracking value accrued for a particular purpose. In the healthcare field, used to track charges for a patient, cost centers, etc.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_activitydefinition,ActivityDefinition,Activity Definition,"This resource allows for the definition of some activity to be performed, independent of a particular patient, practitioner, or other performance context.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_adverseevent,AdverseEvent,Adverse Event,"Actual or potential/avoided event causing unintended physical injury resulting from or contributed to by medical care, a research study or other healthcare setting factors that requires additional monitoring, treatment, or hospitalization, or that results in death.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_allergyintolerance,AllergyIntolerance,Allergy Intolerance,"Risk of harmful or undesirable, physiological response which is unique to an individual and associated with exposure to a substance.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_appointment,Appointment,Appointment,"A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time. This may result in one or more Encounter(s).",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_appointmentresponse,AppointmentResponse,Appointment Response,"A reply to an appointment request for a patient and/or practitioner(s), such as a confirmation or rejection.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_auditevent,AuditEvent,Audit Event,"A record of an event made for purposes of maintaining a security log. Typical uses include detection of intrusion attempts and monitoring for inappropriate usage.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_basic,Basic,Basic,"Basic is used for handling concepts not yet defined in FHIR, narrative-only resources that don't map to an existing resource, and custom resources not appropriate for inclusion in the FHIR specification.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_binary,Binary,Binary,"A binary resource can contain any content, whether text, image, pdf, zip archive, etc.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_bodysite,BodySite,Body Site,"Record details about the anatomical location of a specimen or body part. This resource may be used when a coded concept does not provide the necessary detail needed for the use case.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_bundle,Bundle,Bundle,"A container for a collection of resources.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_capabilitystatement,CapabilityStatement,Capability Statement,"A Capability Statement documents a set of capabilities (behaviors) of a FHIR Server that may be used as a statement of actual server functionality or a statement of required or desired server implementation.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_careplan,CarePlan,Care Plan,"Describes the intention of how one or more practitioners intend to deliver care for a particular patient, group or community for a period of time, possibly limited to care for a specific condition or set of conditions.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_careteam,CareTeam,Care Team,"The Care Team includes all the people and organizations who plan to participate in the coordination and delivery of care for a patient.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_chargeitem,ChargeItem,Charge Item,"The resource ChargeItem describes the provision of healthcare provider products for a certain patient, therefore referring not only to the product, but containing in addition details of the provision, like date, time, amounts and participating organizations and persons. Main Usage of the ChargeItem is to enable the billing process and internal cost allocation.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_claim,Claim,Claim,"A provider issued list of services and products provided, or to be provided, to a patient which is provided to an insurer for payment recovery.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_claimresponse,ClaimResponse,Claim Response,"This resource provides the adjudication details from the processing of a Claim resource.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_clinicalimpression,ClinicalImpression,Clinical Impression,"A record of a clinical assessment performed to determine what problem(s) may affect the patient and before planning the treatments or management strategies that are best to manage a patient's condition. Assessments are often 1:1 with a clinical consultation / encounter, but this varies greatly depending on the clinical workflow. This resource is called ""ClinicalImpression"" rather than ""ClinicalAssessment"" to avoid confusion with the recording of assessment tools such as Apgar score.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_codesystem,CodeSystem,Code System,"A code system resource specifies a set of codes drawn from one or more code systems.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_communication,Communication,Communication,"An occurrence of information being transmitted; e.g. an alert that was sent to a responsible provider, a public health agency was notified about a reportable condition.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_communicationrequest,CommunicationRequest,Communication Request,"A request to convey information; e.g. the CDS system proposes that an alert be sent to a responsible provider, the CDS system proposes that the public health agency be notified about a reportable condition.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_compartmentdefinition,CompartmentDefinition,Compartment Definition,"A compartment definition that defines how resources are accessed on a server.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_composition,Composition,Composition,"A set of healthcare-related information that is assembled together into a single logical document that provides a single coherent statement of meaning, establishes its own context and that has clinical attestation with regard to who is making the statement. While a Composition defines the structure, it does not actually contain the content: rather the full content of a document is contained in a Bundle, of which the Composition is the first resource contained.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_conceptmap,ConceptMap,Concept Map,"A statement of relationships from one set of concepts to one or more other concepts - either code systems or data elements, or classes in class models.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_condition,Condition,Condition,"A clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_consent,Consent,Consent,"A record of a healthcare consumer’s policy choices, which permits or denies identified recipient(s) or recipient role(s) to perform one or more actions within a given policy context, for specific purposes and periods of time.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_contract,Contract,Contract,"A formal agreement between parties regarding the conduct of business, exchange of information or other matters.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_coverage,Coverage,Coverage,"Financial instrument which may be used to reimburse or pay for health care products and services.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_dataelement,DataElement,Data Element,"The formal description of a single piece of information that can be gathered and reported.",base.hl7fhir,http://hl7.org/fhir/resource-types
defn_type_detectedissue,DetectedIssue,Detected Issue,"Indicates an actual or potential clinical issue with or between one or more active or proposed clinical actions for a patient; e.g. Drug-drug interaction, Ineffective treatment frequency, Procedure-condition conflict, etc.",base.hl7fhir,http://hl7.org/fhir/resource-types
