id,name,code,division_id/id,region_id/id,numeric_code,source_id/id,system,country_id/id,type_id/id
base.state_us_1,Alabama,AL,division_us_6,region_us_3,1,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_2,Alaska,AK,division_us_9,region_us_4,2,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_3,Arizona,AZ,division_us_8,region_us_4,4,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_4,Arkansas,AR,division_us_7,region_us_3,5,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_5,California,CA,division_us_9,region_us_4,6,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_6,Colorado,CO,division_us_8,region_us_4,8,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_7,Connecticut,CT,division_us_1,region_us_1,9,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_8,Delaware,DE,division_us_5,region_us_3,10,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_9,District of Columbia,DC,division_us_5,region_us_3,11,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_district
base.state_us_10,Florida,FL,division_us_5,region_us_3,12,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_11,Georgia,GA,division_us_5,region_us_3,13,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_12,Hawaii,HI,division_us_9,region_us_4,15,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_13,Idaho,ID,division_us_8,region_us_4,16,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_14,Illinois,IL,division_us_3,region_us_2,17,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_15,Indiana,IN,division_us_3,region_us_2,18,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_16,Iowa,IA,division_us_4,region_us_2,19,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_17,Kansas,KS,division_us_4,region_us_2,20,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_18,Kentucky,KY,division_us_6,region_us_3,21,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_19,Louisiana,LA,division_us_7,region_us_3,22,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_20,Maine,ME,division_us_1,region_us_1,23,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_21,Montana,MT,division_us_5,region_us_3,24,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_22,Nebraska,NE,division_us_1,region_us_1,25,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_23,Nevada,NV,division_us_3,region_us_2,26,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_24,New Hampshire,NH,division_us_4,region_us_2,27,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_25,New Jersey,NJ,division_us_6,region_us_3,28,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_26,New Mexico,NM,division_us_4,region_us_2,29,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_27,New York,NY,division_us_8,region_us_4,30,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_28,North Carolina,NC,division_us_4,region_us_2,31,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_29,North Dakota,ND,division_us_8,region_us_4,32,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_30,Ohio,OH,division_us_1,region_us_1,33,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_31,Oklahoma,OK,division_us_2,region_us_1,34,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_32,Oregon,OR,division_us_8,region_us_4,35,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_33,Maryland,MD,division_us_2,region_us_1,36,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_34,Massachusetts,MA,division_us_5,region_us_3,37,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_35,Michigan,MI,division_us_4,region_us_2,38,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_36,Minnesota,MN,division_us_3,region_us_2,39,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_37,Mississippi,MS,division_us_7,region_us_3,40,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_38,Missouri,MO,division_us_9,region_us_4,41,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_39,Pennsylvania,PA,division_us_2,region_us_1,42,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_40,Rhode Island,RI,division_us_1,region_us_1,44,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
base.state_us_41,South Carolina,SC,division_us_5,region_us_3,45,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,state_type_us_state
