id,"type_ids/id","name"
hc_base.human_name_term_1,,"James"
hc_base.human_name_term_10,,"Phelps"
hc_base.human_name_term_100,,"Rafa"
hc_base.human_name_term_101,,"Cabrera-Bello"
hc_base.human_name_term_102,,"Albert"
hc_base.human_name_term_103,,"Ramos-Viñolas"
hc_base.human_name_term_104,,"Marchán"
hc_base.human_name_term_105,,"Mónica"
hc_base.human_name_term_106,,"Madeline"
hc_base.human_name_term_107,,"DiRado"
hc_base.human_name_term_108,,"Arianne"
hc_base.human_name_term_109,,"Helen"
hc_base.human_name_term_11,,"Simone"
hc_base.human_name_term_110,,"Maroulis"
hc_base.human_name_term_111,,"Jean-Charles"
hc_base.human_name_term_112,,"Sakshi"
hc_base.human_name_term_113,,"Malik"
hc_base.human_name_term_114,,"Luis"
hc_base.human_name_term_115,,"Luigi"
hc_base.human_name_term_116,,"Sison"
hc_base.human_name_term_117,,"Ordonez"
hc_base.human_name_term_118,,"Ordoñez"
hc_base.human_name_term_119,,"Maria"
hc_base.human_name_term_12,,"Biles"
hc_base.human_name_term_120,"hc_base.human_name_term_type_uc,hc_base.human_name_term_type_hc","Patient"
hc_base.human_name_term_121,,"Mary"
hc_base.human_name_term_122,"hc_base.human_name_term_type_uc,hc_base.human_name_term_type_hc","Doctor"
hc_base.human_name_term_123,"hc_base.human_name_term_type_uc,hc_base.human_name_term_type_hc","Nurse"
hc_base.human_name_term_124,"hc_base.human_name_term_type_uc,hc_base.human_name_term_type_hc","Therapist"
hc_base.human_name_term_125,"hc_base.human_name_term_type_uc,hc_base.human_name_term_type_hc","Caregiver"
hc_base.human_name_term_126,"hc_base.human_name_term_type_i","A."
hc_base.human_name_term_127,"hc_base.human_name_term_type_i","B."
hc_base.human_name_term_128,"hc_base.human_name_term_type_i","C."
hc_base.human_name_term_129,"hc_base.human_name_term_type_i","D."
hc_base.human_name_term_13,,"Bryony"
hc_base.human_name_term_130,"hc_base.human_name_term_type_i","E."
hc_base.human_name_term_131,"hc_base.human_name_term_type_i","F."
hc_base.human_name_term_132,"hc_base.human_name_term_type_i","G."
hc_base.human_name_term_133,"hc_base.human_name_term_type_i","H."
hc_base.human_name_term_134,"hc_base.human_name_term_type_i","I."
hc_base.human_name_term_135,"hc_base.human_name_term_type_i","J."
hc_base.human_name_term_136,"hc_base.human_name_term_type_i","K."
hc_base.human_name_term_137,"hc_base.human_name_term_type_i","L."
hc_base.human_name_term_138,"hc_base.human_name_term_type_i","M."
hc_base.human_name_term_139,"hc_base.human_name_term_type_i","N."
hc_base.human_name_term_14,,"Page"
hc_base.human_name_term_140,"hc_base.human_name_term_type_i","O."
hc_base.human_name_term_141,"hc_base.human_name_term_type_i","P."
hc_base.human_name_term_142,"hc_base.human_name_term_type_i","Q."
hc_base.human_name_term_143,"hc_base.human_name_term_type_i","R."
hc_base.human_name_term_144,"hc_base.human_name_term_type_i","S."
hc_base.human_name_term_145,"hc_base.human_name_term_type_i","T."
hc_base.human_name_term_146,"hc_base.human_name_term_type_i","U."
hc_base.human_name_term_147,"hc_base.human_name_term_type_i","V."
hc_base.human_name_term_148,"hc_base.human_name_term_type_i","W."
hc_base.human_name_term_149,"hc_base.human_name_term_type_i","X."
hc_base.human_name_term_15,,"Monica"
hc_base.human_name_term_150,"hc_base.human_name_term_type_i","Y."
hc_base.human_name_term_151,"hc_base.human_name_term_type_i","Z."
hc_base.human_name_term_152,,"Klein"
hc_base.human_name_term_153,,"Joan"
hc_base.human_name_term_154,"hc_base.human_name_term_type_uc,hc_base.human_name_term_type_hc","Primary"
hc_base.human_name_term_155,"hc_base.human_name_term_type_uc,hc_base.human_name_term_type_hc","Admitting"
hc_base.human_name_term_156,"hc_base.human_name_term_type_uc,hc_base.human_name_term_type_hc","Supporting"
hc_base.human_name_term_157,"hc_base.human_name_term_type_abbr","Ma."
hc_base.human_name_term_16,,"Puig"
hc_base.human_name_term_17,,"Nico"
hc_base.human_name_term_18,,"Hernández"
hc_base.human_name_term_19,,"Molly"
hc_base.human_name_term_2,,"John"
hc_base.human_name_term_20,,"Huddle"
hc_base.human_name_term_21,,"Amini"
hc_base.human_name_term_22,,"Fonua"
hc_base.human_name_term_23,,"Carlos"
hc_base.human_name_term_25,,"Lia"
hc_base.human_name_term_26,,"Neal"
hc_base.human_name_term_27,,"Brady"
hc_base.human_name_term_28,,"Ellison"
hc_base.human_name_term_29,,"Petra"
