id,"code","name","definition","source_id/id","system"
med_pkg_form_404218003,"404218003","Drop","Drop - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_413516001,"413516001","Ampule","Ampule - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_413568008,"413568008","Application","Application - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_413769002,"413769002","Case","Case - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_415215001,"415215001","Puff","Puff - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_415505006,"415505006","Scoop","Scoop - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_415702006,"415702006","Tablespoonful","Tablespoonful - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_415703001,"415703001","Teaspoonful","Teaspoonful - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_415818006,"415818006","Vial","Vial - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_418445004,"418445004","Box","Box - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_418530008,"418530008","Tube","Tube - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_418836005,"418836005","Base","Base - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_419179001,"419179001","Kit","Kit - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_419672006,"419672006","Bottle","Bottle - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_419694003,"419694003","Spray","Spray - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_419702001,"419702001","Patch","Patch - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_419888008,"419888008","Packet","Packet - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_420401004,"420401004","Swab","Swab - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_421496007,"421496007","Glassful","Glassful - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_421823004,"421823004","Pad","Pad - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_421954001,"421954001","Dropperful","Dropperful - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_422237004,"422237004","Inhalation","Inhalation - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_425565005,"425565005","Blister","Blister - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_426148002,"426148002","Sachet","Sachet - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_426198001,"426198001","Dual dose sachet","Dual dose sachet - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_427678004,"427678004","Disc","Disc - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_428003006,"428003006","Bar","Bar - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_428177008,"428177008","Implant","Implant - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_428178003,"428178003","Cup","Cup - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_428639001,"428639001","Insert","Insert - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_428640004,"428640004","Pellet","Pellet - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_428641000,"428641000","Capsule","Capsule - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_428672001,"428672001","Bag","Bag - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_428673006,"428673006","Tablet","Tablet - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_429308001,"429308001","Can","Can - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_429587008,"429587008","Lozenge","Lozenge - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_429671000,"429671000","Sponge","Sponge - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_430281005,"430281005","Gum","Gum - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_430293001,"430293001","Suppository","Suppository - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_700472005,"700472005","Vaginal suppository","Vaginal suppository - unit of product usage","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_700473000,"700473000","Pastille","Pastille - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_700474006,"700474006","Prefilled syringe","Prefilled syringe - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_700476008,"700476008","Enema","Enema - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_700477004,"700477004","Tampon","Tampon - unit of product usage","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_700478009,"700478009","Dressing","Dressing - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_700479001,"700479001","Sublingual tablet","Sublingual tablet - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_700480003,"700480003","Rectal capsule","Rectal capsule - unit of product usage","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
med_pkg_form_700481004,"700481004","Rectal tablet","Rectal tablet - unit of product usage (qualifier value)","base.snomed","http://hl7.org/fhir/ValueSet/medication-package-form-codes"
