id,code,name,definition,level,contains_id/id,value_set_ids/id,country_ids/id,source_id/id,system
race_1,1002-5,"American Indian or Alaska Native",,,,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_2,1004-1,"American Indian",,,race_1,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_3,1006-6,"Abenaki",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_4,1008-2,"Algonquian",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_5,1010-8,"Apache",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_6,1011-6,"Chiricahua",,,race_5,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_7,1012-4,"Fort Sill Apache",,,race_5,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_8,1013-2,"Jicarilla Apache",,,race_5,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_9,1014-0,"Lipan Apache",,,race_5,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_10,1015-7,"Mescalero Apache",,,race_5,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_11,1016-5,"Oklahoma Apache",,,race_5,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_12,1017-3,"Payson Apache",,,race_5,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_13,1018-1,"San Carlos Apache",,,race_5,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_14,1019-9,"White Mountain Apache",,,race_5,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_15,1021-5,"Arapaho",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_16,1022-3,"Northern Arapaho",,,race_15,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_17,1023-1,"Southern Arapaho",,,race_15,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_18,1024-9,"Wind River Arapaho",,,race_15,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_19,1026-4,"Arikara",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_20,1028-0,"Assiniboine",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_21,1030-6,"Assiniboine Sioux",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_22,1031-4,"Fort Peck Assiniboine Sioux",,,race_21,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_23,1033-0,"Bannock",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_24,1035-5,"Blackfeet",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_25,1037-1,"Brotherton",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_26,1039-7,"Burt Lake Band",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_27,1041-3,"Caddo",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_28,1042-1,"Oklahoma Cado",,,race_3,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_29,1044-7,"Cahuilla",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_30,1045-4,"Agua Caliente Cahuilla",,,race_29,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_31,1046-2,"Augustine",,,race_29,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_32,1047-0,"Cabazon",,,race_29,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_33,1048-8,"Los Coyotes",,,race_29,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_34,1049-6,"Morongo",,,race_29,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_35,1050-4,"Santa Rosa Cahuilla",,,race_29,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_36,1051-2,"Torres-Martinez",,,race_29,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_37,1053-8,"California Tribes",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_38,1054-6,"Cahto",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_39,1055-3,"Chimariko",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_40,1056-1,"Coast Miwok",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_41,1057-9,"Digger",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_42,1058-7,"Kawaiisu",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_43,1059-5,"Kern River",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_44,1060-3,"Mattole",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_45,1061-1,"Red Wood",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_46,1062-9,"Santa Rosa",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_47,1063-7,"Takelma",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_48,1064-5,"Wappo",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_49,1065-2,"Yana",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_50,1066-0,"Yuki",,,race_37,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_51,1068-6,"Canadian and Latin American Indian",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_52,1069-4,"Canadian Indian",,,race_51,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_53,1070-2,"Central American Indian",,,race_51,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_54,1071-0,"French American Indian",,,race_51,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_55,1072-8,"Mexican American Indian",,,race_51,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_56,1073-6,"South American Indian",,,race_51,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_57,1074-4,"Spanish American Indian",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_58,1076-9,"Catawba",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_59,1741-8,"Alatna",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_60,1742-6,"Alexander",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_61,1743-4,"Allakaket",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_62,1744-2,"Alanvik",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_63,1745-9,"Anvik",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_64,1746-7,"Arctic",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_65,1747-5,"Beaver",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_66,1748-3,"Birch Creek",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_67,1749-1,"Cantwell",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_68,1750-9,"Chalkyitsik",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_69,1751-7,"Chickaloon",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_70,1752-5,"Chistochina",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_71,1753-3,"Chitina",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_72,1754-1,"Circle",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_73,1755-8,"Cook Inlet",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_74,1756-6,"Copper Center",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_75,1757-4,"Copper River",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_76,1758-2,"Dot Lake",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_77,1759-0,"Doyon",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_78,1760-8,"Eagle",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_79,1761-6,"Eklutna",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_80,1762-4,"Evansville",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_81,1763-2,"Fort Yukon",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_82,1764-0,"Gakona",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_83,1765-7,"Galena",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_84,1766-5,"Grayling",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_85,1767-3,"Gulkana",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_86,1768-1,"Healy Lake",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_87,1769-9,"Holy Cross",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_88,1770-7,"Hughes",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_89,1771-5,"Huslia",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_90,1772-3,"Iliamna",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_91,1773-1,"Kaltag",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_92,1774-9,"Kluti Kaah",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_93,1775-6,"Knik",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_94,1776-4,"Koyukuk",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_95,1777-2,"Lake Minchumina",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_96,1778-0,"Lime",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_97,1779-8,"Mcgrath",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_98,1780-6,"Manley Hot Springs",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
