id,code,name,version,source_id/id,system
prac_qual_aa,AA,Associate of Arts,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_aas,AAS,Associate of Applied Science,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_aba,ABA,Associate of Business Administration,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_ae,AE,Associate of Engineering,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_as,AS,Associate of Science,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_ba,BA,Bachelor of Arts,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_bba,BBA,Bachelor of Business Administration,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_be,BE,Bachelor or Engineering,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_bfa,BFA,Bachelor of Fine Arts,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_bn,BN,Bachelor of Nursing,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_bs,BS,Bachelor of Science,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_bsl,BSL,Bachelor of Science - Law,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_bsn,BSN,Bachelor on Science - Nursing,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_bt,BT,Bachelor of Theology,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_canp,CANP,Certified Adult Nurse Practitioner,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_cer,CER,Certificate,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_cma,CMA,Certified Medical Assistant,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_cnm,CNM,Certified Nurse Midwife,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_cnp,CNP,Certified Nurse Practitioner,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_cns,CNS,Certified Nurse Specialist,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_cpnp,CPNP,Certified Pediatric Nurse Practitioner,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_crn,CRN,Certified Registered Nurse,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_ctr,CTR,Certified Tumor Registrar,added v2.8,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_dba,DBA,Doctor of Business Administration,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_ded,DED,Doctor of Education,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
prac_qual_dip,DIP,Diploma,from v2.7,base.hl7v2,http://hl7.org/fhir/v2/0360/2.7
