"id","code","name","source_id/id","system"
hc_procedure.proc_104001 ,"104001 ","Excision of lesion of patella","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_115006 ,"115006 ","Removable appliance therapy","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_119000 ,"119000 ","Thoracoscopic partial lobectomy of lung","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_121005 ,"121005 ","Retrobulbar injection of therapeutic agent","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_128004 ,"128004 ","Hand microscope examination of skin","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_133000 ,"133000 ","Percutaneous implantation of neurostimulator electrodes into neuromuscular component","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_135007 ,"135007 ","Arthrotomy of wrist joint with exploration and biopsy","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_142007 ,"142007 ","Excision of tumor from shoulder area, deep, intramuscular","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_146005 ,"146005 ","Repair of nonunion of metatarsal with bone graft","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_153001 ,"153001 ","Cystourethroscopy with resection of ureterocele","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_160007 ,"160007 ","Removal of foreign body of tendon and/or tendon sheath","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_166001 ,"166001 ","Behavioral therapy","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_170009 ,"170009 ","Special potency disk identification, vancomycin test","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_174000 ,"174000 ","Harrison-Richardson operation on vagina","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_176003 ,"176003 ","Anastomosis of rectum","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_189009 ,"189009 ","Excision of lesion of artery","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_197002 ,"197002 ","Mold to yeast conversion test","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_230009 ,"230009 ","Miller operation, urethrovesical suspension","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_243009 ,"243009 ","Replacement of cerebral ventricular tube","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_245002 ,"245002 ","Division of nerve ganglion","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_262007 ,"262007 ","Percutaneous aspiration of renal pelvis","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_267001 ,"267001 ","Anal fistulectomy, multiple","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_285008 ,"285008 ","Incision and drainage of vulva","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_294002 ,"294002 ","Excisional biopsy of joint structure of spine","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_295001 ,"295001 ","Nonexcisional destruction of cyst of ciliary body","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_306005 ,"306005 ","Echography of kidney","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_316002 ,"316002 ","Partial dacryocystectomy","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_334003 ,"334003 ","Panorex examination of mandible","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_342002 ,"342002 ","Amobarbital interview","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_346004 ,"346004 ","Periodontal scaling and root planing, per quadrant","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_348003 ,"348003 ","Radionuclide dynamic function study","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_351005 ,"351005 ","Urinary undiversion of ureteral anastomosis","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_352003 ,"352003 ","Reagent RBC, preparation antibody sensitized pool","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_353008 ,"353008 ","IV/irrigation monitoring","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_374009 ,"374009 ","Costosternoplasty for pectus excavatum repair","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_388008 ,"388008 ","Blepharorrhaphy","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_389000 ,"389000 ","Tobramycin measurement","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_401004 ,"401004 ","Distal subtotal pancreatectomy","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_406009 ,"406009 ","Fulguration of stomach lesion","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_417005 ,"417005 ","Hospital re-admission","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_435001 ,"435001 ","Pulmonary inhalation study","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_445004 ,"445004 ","Repair of malunion of tibia","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_456004 ,"456004 ","Total abdominal colectomy with ileostomy","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_459006 ,"459006 ","Closed condylotomy of mandible","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_463004 ,"463004 ","Closed reduction of coxofemoral joint dislocation with splint","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_468008 ,"468008 ","Glutathione measurement","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_474008 ,"474008 ","Esophagoenteric anastomosis, intrathoracic","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_489004 ,"489004 ","Ferritin measurement","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_493005 ,"493005 ","Urobilinogen measurement, 48-hour, feces","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_494004 ,"494004 ","Excision of lesion of tonsil","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_497006 ,"497006 ","Replacement of cochlear prosthesis, multiple channels","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_503003 ,"503003 ","Corneal gluing","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_531007 ,"531007 ","Open pulmonary valve commissurotomy with inflow occlusion","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_533005 ,"533005 ","Repair of vesicocolic fistula","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_535003 ,"535003 ","Closure of ureterovesicovaginal fistula","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_540006 ,"540006 ","Antibody to single and double stranded DNA measurement","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_543008 ,"543008 ","Choledochostomy with transduodenal sphincteroplasty","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_545001 ,"545001 ","Operative procedure on lower leg","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_549007 ,"549007 ","Incision of intracranial vein","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_550007 ,"550007 ","Excision of lesion of adenoids","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_559008 ,"559008 ","Excision of varicose vein","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_570001 ,"570001 ","Vaccination for arthropod-borne viral encephalitis","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_574005 ,"574005 ","Benzodiazepine measurement","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_603006 ,"603006 ","Synchondrotomy","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_617002 ,"617002 ","Bone graft to mandible","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
hc_procedure.proc_618007 ,"618007 ","Frontal sinusectomy","base.snomed","http://hl7.org/fhir/ValueSet/procedure-code"
